2905.5817  0.99983241 0.000039
2905.6021  1.0000079 0.000039
2905.6225  0.99999094 0.000039
2905.6430  1.0000907 0.000039
2905.6838  0.99991862 0.000039
2905.7042  0.99983463 0.000039
2905.7247  0.99989716 0.000039
2905.7451  0.99997706 0.000039
2905.7655  0.99993230 0.000039
2905.7860  0.99978679 0.000039
2905.8268  0.99956893 0.000039
2905.8473  0.99984094 0.000039
2905.8677  1.0000872 0.000039
2905.8881  1.0000226 0.000039
2905.9086  1.0000012 0.000039
2905.9290  1.0000793 0.000039
2905.9494  1.0000821 0.000039
2905.9699  0.99989872 0.000039
2905.9903  0.99994320 0.000039
2906.0107  0.99992078 0.000039
2906.0312  0.99986202 0.000039
2906.1129  1.0001094 0.000039
2906.1333  1.0000251 0.000039
2906.1538  1.0000803 0.000039
2906.1742  1.0000264 0.000039
2906.1946  1.0000396 0.000039
2906.2151  0.99992221 0.000039
2906.2355  0.99995305 0.000039
2906.2559  0.99997850 0.000039
2906.2764  0.99991555 0.000039
2906.3785  1.0000967 0.000039
2906.3989  1.0000125 0.000039
2906.4194  1.0000060 0.000039
2906.4398  0.99999568 0.000039
2906.4602  0.99991970 0.000039
2906.4807  0.99996328 0.000039
2906.5011  0.99995356 0.000039
2906.5215  0.99999584 0.000039
2906.5624  1.0001241 0.000039
2906.6033  1.0000905 0.000039
2906.6237  0.99999171 0.000039
2906.6441  1.0000092 0.000039
2906.6646  0.99997472 0.000039
2906.6850  0.99996068 0.000039
2906.7054  0.99995293 0.000039
2906.7259  0.99992503 0.000039
2906.7463  0.99994634 0.000039
2906.7667  1.0000433 0.000039
2906.8076  1.0000774 0.000039
2906.8280  1.0000603 0.000039
2906.8485  1.0000793 0.000039
2906.8689  1.0000649 0.000039
2906.8893  1.0000321 0.000039
2906.9098  0.99996566 0.000039
2906.9302  0.99989752 0.000039
2906.9506  0.99996072 0.000039
2906.9711  1.0000016 0.000039
2906.9915  0.99993318 0.000039
2907.0119  0.99965603 0.000039
2907.0528  0.99955686 0.000039
2907.0732  1.0000048 0.000039
2907.0936  1.0000064 0.000039
2907.1141  0.99994485 0.000039
