2457093.685906	0.988486	0.000928	0.685906	13.025320	277.422423	1.368890	3102849.649794
2457093.687954	0.986418	0.000926	0.687954	13.002109	279.341088	1.379599	3111306.893322
2457093.688857	0.988614	0.000933	0.688857	13.285411	279.618026	1.384416	3099656.140573
2457093.692063	0.987591	0.000856	0.692063	13.076049	330.481391	1.401800	3600863.809389
2457093.694332	0.986814	0.000856	0.694332	13.188929	328.147071	1.414864	3586178.753891
2457093.696600	0.987218	0.000860	0.696600	13.280180	335.083893	1.428401	3579449.541042
2457093.698879	0.984597	0.000861	0.698879	13.409289	340.514035	1.442494	3570145.284923
2457093.701148	0.985144	0.000868	0.701148	13.842587	346.322434	1.457036	3549385.199948
2457093.702155	0.985753	0.000871	0.702155	13.745139	347.376964	1.463656	3549977.021587
2457093.705071	0.989246	0.000881	0.705071	13.811334	352.721712	1.483439	3516631.706873
2457093.707317	0.986583	0.000880	0.707317	13.402802	358.797788	1.499297	3519001.871902
2457093.709585	0.987839	0.000888	0.709585	13.803070	368.752784	1.515889	3497540.533442
2457093.711854	0.986003	0.000890	0.711854	13.455686	376.925749	1.533102	3500658.363334
2457093.714121	0.986709	0.000899	0.714121	13.758909	384.558806	1.550956	3477375.654880
2457093.715140	0.985281	0.000902	0.715140	13.985832	388.981890	1.559184	3464275.875315
2457093.718033	0.988458	0.000911	0.718033	13.657302	394.651470	1.583300	3441391.285555
2457093.720290	0.987171	0.000914	0.720290	13.768270	402.452994	1.602924	3440666.810064
2457093.722582	0.985309	0.000919	0.722582	13.554810	408.754472	1.623597	3414768.093917
2457093.724862	0.988653	0.000926	0.724862	13.621734	415.906890	1.645070	3416100.373760
2457093.727153	0.984403	0.000932	0.727153	13.864066	425.469732	1.667355	3388252.867458
2457093.728160	0.984019	0.000935	0.728160	13.415726	432.273106	1.677425	3387074.189083
2457093.731562	0.983310	0.000883	0.731562	13.891747	505.994447	1.712132	3803820.224132
2457093.734051	0.983630	0.000896	0.734051	14.062841	516.305941	1.739271	3753085.023885
2457093.736574	0.988301	0.000908	0.736574	14.066594	526.679668	1.768001	3729552.453351
2457093.739086	0.979444	0.000911	0.739086	13.715179	539.870711	1.797855	3697656.988172
2457093.740219	0.984619	0.000924	0.740219	14.166401	547.508205	1.811792	3666368.730310
2457093.745092	0.989013	0.000948	0.745092	13.880718	571.372197	1.874952	3605468.351169
2457093.747603	0.983321	0.000959	0.747603	14.067849	589.564969	1.909737	3567050.002204
2457093.750115	0.988932	0.000982	0.750115	14.429276	603.727748	1.946194	3505773.151462
2457093.752626	0.986163	0.000994	0.752626	14.412717	621.872144	1.984387	3472532.717899
2457093.753760	0.988942	0.001011	0.753760	14.737851	633.954953	2.002258	3425219.474654
