2455899.454080 1.00439351 0.00123036 1.04137695
2455899.455342 1.00312695 0.00122881 1.03956330
2455899.456603 0.99930922 0.00143582 1.03779352
2455899.457865 0.99880313 0.00151789 1.03606737
2455899.459138 1.00472659 0.00133256 1.03436935
2455899.460399 1.00270204 0.00113593 1.03272998
2455899.461661 1.00009187 0.00112376 1.03113341
2455899.462934 1.00327478 0.00132139 1.02956533
2455899.464207 1.00618050 0.00153837 1.02804017
2455899.465468 1.00102263 0.00121701 1.02657104
2455899.466730 0.99941968 0.00163849 1.02514374
2455899.467991 1.01035942 0.00177740 1.02375782
2455899.469253 1.00143761 0.00131897 1.02241313
2455899.470526 0.99942888 0.00183181 1.02109778
2455899.471788 0.99862836 0.00251097 1.01983535
2455899.475572 1.00853714 0.00378990 1.01629102
2455899.476833 1.00296989 0.00315929 1.01518977
2455899.478107 1.00570798 0.00360327 1.01411879
2455899.479368 0.99954856 0.00396786 1.01309752
2455899.480641 1.00080138 0.00370552 1.01210678
2455899.481903 1.00918758 0.00286285 1.01116455
2455899.483164 1.00357052 0.00185789 1.01026154
2455899.484437 1.00168667 0.00202969 1.00938988
2455899.485699 1.00240655 0.00223427 1.00856507
2455899.486960 1.00555979 0.00195419 1.00777900
2455899.488222 1.00297913 0.00164432 1.00703168
2455899.489495 1.00166822 0.00164218 1.00631642
2455899.490756 1.00440276 0.00173917 1.00564623
2455899.492018 1.00310847 0.00182008 1.00501430
2455899.493279 1.00556905 0.00175045 1.00442052
2455899.494518 1.00181585 0.00172546 1.00387466
2455899.495779 1.00625464 0.00152921 1.00335622
2455899.497052 1.00004581 0.00151978 1.00287151
2455899.498314 0.99979715 0.00162069 1.00242913
2455899.499575 1.00297913 0.00175518 1.00202453
2455899.500848 0.99781929 0.00202186 1.00165439
2455899.502110 1.00200040 0.00224259 1.00132549
2455899.503371 0.99861916 0.00234539 1.00103414
2455899.504633 0.99930002 0.00223655 1.00078022
2455899.505894 0.99895033 0.00243818 1.00056386
2455899.507156 1.00039588 0.00271813 1.00038493
2455899.508429 1.00085669 0.00235065 1.00024223
2455899.509690 0.99119681 0.00202670 1.00013852
2455899.510952 0.99735070 0.00202091 1.00007212
2455899.512225 0.99941968 0.00182259 1.00004292
2455899.513486 0.99571694 0.00183418 1.00005162
2455899.514748 0.99717618 0.00172665 1.00009763
2455899.516009 0.99567109 0.00171488 1.00018108
2455899.517271 0.99808585 0.00181096 1.00030184
2455899.518532 0.99607467 0.00191741 1.00046003
2455899.519794 0.99651513 0.00181729 1.00065565
2455899.521055 0.99500187 0.00181453 1.00088871
2455899.522317 0.99917117 0.00194177 1.00115931
2455899.523578 0.99304264 0.00192071 1.00146735
2455899.524851 0.99340856 0.00182993 1.00181639
2455899.526113 0.99931843 0.00201569 1.00220013
2455899.527374 0.99446132 0.00192346 1.00262153
2455899.528636 0.99607467 0.00202750 1.00308073
2455899.529897 0.99528600 0.00201672 1.00357783
2455899.531159 0.99953935 0.00185043 1.00411272
2455899.532420 1.00219423 0.00181842 1.00468576
2455899.533682 0.99860997 0.00191309 1.00529683
2455899.534943 0.99429647 0.00220703 1.00594616
2455899.536216 0.99663445 0.00182669 1.00664032
2455899.537478 0.99383868 0.00172088 1.00736666
2455899.538739 0.99741500 0.00171788 1.00813162
2455899.539989 0.99826052 0.00163659 1.00892770
2455899.541262 0.99673543 0.00153311 1.00977767
2455899.542524 0.99655184 0.00160625 1.01065910
2455899.543785 0.99872954 0.00142579 1.01157951
2455899.545047 0.99912516 0.00141715 1.01253915
2455899.546320 0.99716700 0.00122150 1.01354766
2455899.547581 0.99874794 0.00113145 1.01458657
2455899.550463 0.99625817 0.00132133 1.01710939
2455899.551724 0.99842603 0.00141616 1.01827955
2455899.552986 0.99385699 0.00130899 1.01949012
2455899.554247 0.99679051 0.00132203 1.02074111
2455899.555497 0.99517601 0.00131989 1.02202094
2455899.556759 0.99662527 0.00132181 1.02335334
2455899.558032 0.99512101 0.00152146 1.02473974
2455899.559293 0.99504769 0.00159466 1.02615511
2455899.560543 0.99559773 0.00189815 1.02759850
2455899.561816 0.99539601 0.00191610 1.02911103
2455899.563078 1.00323782 0.00194967 1.03065217
2455899.564339 0.99721292 0.00240638 1.03223562
2455899.565601 1.00486541 0.00285059 1.03386188
2455899.566862 0.99763550 0.00318843 1.03553104
2455899.568124 0.99549686 0.00405264 1.03724337
2455899.569385 0.99945650 0.00531148 1.03899932
2455899.571908 0.99954856 0.00580910 1.04264307
2455899.573170 0.99757119 0.00520039 1.04453146
2455899.574431 0.99503853 0.00494891 1.04646468
2455899.575704 0.99769983 0.00497133 1.04846144
2455899.576966 0.99768145 0.00467719 1.05048573
2455899.578227 0.99886753 0.00402956 1.05255580
2455899.579489 0.99513934 0.00339126 1.05467212
2455899.580762 0.99609302 0.00295414 1.05685508
2455899.582023 0.99756200 0.00282068 1.05906534
2455899.583273 0.99824213 0.00273986 1.06130207
2455899.584535 0.99811342 0.00284063 1.06360698
2455899.585796 0.99224723 0.00261374 1.06596005
2455899.587069 0.99586369 0.00233892 1.06838405
2455899.588331 0.99805827 0.00241762 1.07083523
2455899.589592 0.99583617 0.00225631 1.07333589
2455899.590854 0.99722210 0.00192880 1.07588649
2455899.592115 1.00152985 0.00164195 1.07848752
2455899.593377 0.99785605 0.00160835 1.08113933
2455899.594638 0.99790201 0.00143380 1.08384252
2455899.595900 0.99923560 0.00143571 1.08659768
2455899.597161 0.99923560 0.00133448 1.08940506
2455899.598434 0.99735989 0.00130442 1.09229195
2455899.599696 0.99264028 0.00129824 1.09520626
