#Mass          	Status    Reason                                            Runtime                  
			
00226          	FAILED    min_timestep_limit                                5:02:19                  
00228          	FAILED    min_timestep_limit                                10:10:16                 
00230          	FAILED    need_more_time                                    exceeded_req_time        
00232          	OK        gamma_center_limit                                11:33:36                 
00234          	FAILED    need_more_time                                    exceeded_req_time        
00236          	OK        gamma_center_limit                                98:46:53                 
00238          	FAILED    need_more_time                                    exceeded_req_time        
00240          	FAILED    need_more_time                                    exceeded_req_time        
00242          	OK        gamma_center_limit                                14:23:08                 
00244          	FAILED    need_more_time                                    exceeded_req_time        
00246          	FAILED    need_more_time                                    exceeded_req_time        
00248          	FAILED    min_timestep_limit                                14:48:35                 
00250          	OK        gamma_center_limit                                9:30:27                  
00252          	FAILED    need_more_time                                    exceeded_req_time        
00254          	FAILED    need_more_time                                    exceeded_req_time        
00256          	OK        gamma_center_limit                                13:56:25                 
00258          	OK        gamma_center_limit                                13:35:16                 
00260          	OK        gamma_center_limit                                11:08:15                 
00262          	FAILED    min_timestep_limit                                14:15:33                 
00264          	FAILED    min_timestep_limit                                11:32:22                 
00266          	FAILED    min_timestep_limit                                34:51:45                 
00268          	FAILED    min_timestep_limit                                90:37:03                 
00270          	OK        gamma_center_limit                                11:13:18                 
00272          	FAILED    min_timestep_limit                                14:52:24                 
00274          	FAILED    need_more_time                                    exceeded_req_time        
00276          	FAILED    need_more_time                                    exceeded_req_time        
00278          	FAILED    need_more_time                                    exceeded_req_time        
00280          	FAILED    need_more_time                                    exceeded_req_time        
00300          	FAILED    need_more_time                                    exceeded_req_time        
00320          	FAILED    need_more_time                                    exceeded_req_time        
00340          	FAILED    min_timestep_limit                                7:45:08                  
00360          	FAILED    need_more_time                                    exceeded_req_time        
00380          	FAILED    need_more_time                                    exceeded_req_time        
00400          	OK        gamma_center_limit                                10:48:12                 
00420          	FAILED    need_more_time                                    exceeded_req_time        
00440          	OK        gamma_center_limit                                8:00:55                  
00460          	OK        gamma_center_limit                                5:37:48                  
00480          	FAILED    min_timestep_limit                                2:50:00                  
00500          	OK        gamma_center_limit                                2:39:42                  
00520          	OK        gamma_center_limit                                4:18:47                  
00540          	OK        gamma_center_limit                                3:41:22                  
00560          	OK        gamma_center_limit                                6:07:13                  
00580          	FAILED    min_timestep_limit                                6:22:01                  
00600          	FAILED    min_timestep_limit                                5:30:27                  
00620          	FAILED    min_timestep_limit                                5:47:55                  
00640          	FAILED    min_timestep_limit                                8:02:35                  
00660          	FAILED    min_timestep_limit                                12:03:08                 
00680          	FAILED    need_more_time                                    exceeded_req_time        
00700          	FAILED    need_more_time                                    exceeded_req_time        
00720          	FAILED    min_timestep_limit                                17:57:57                 
00740          	OK        central_C12_mass_fraction_below_1e-2              4:12:29                  
00760          	OK        central_C12_mass_fraction_below_1e-2              5:23:33                  
00780          	OK        central_C12_mass_fraction_below_1e-2              3:53:58                  
00800          	OK        central_C12_mass_fraction_below_1e-2              2:21:30                  
00900          	OK        central_C12_mass_fraction_below_1e-2              2:21:46                  
01000_PT       	OK        central_C12_mass_fraction_below_1e-4              9:32:49                  
01000_SP       	OK        central_C12_mass_fraction_below_1e-4              10:06:03                 
01100_PT       	OK        central_C12_mass_fraction_below_1e-4              9:21:56                  
01100_SP       	OK        central_C12_mass_fraction_below_1e-4              12:23:36                 
01200_PT       	OK        central_C12_mass_fraction_below_1e-4              21:26:59                 
