#parname, median value, upper errorbar, lower errorbar
omegadeg_1,-98.7,8.4,9.5
teq_1,246.7,7.1,7.2
tcirc_1,230000000000,250000000000,100000000000
k_1,59.9,2.5,2.3
logk_1,1.777,0.018,0.017
p_1,0.0711,0.0057,0.0056
ar_1,311,19,17
delta_1,0.00505,0.00084,0.00077
depth_1,0.00,0.00,0.00
tau_1,0.00,0.00,0.00
t14_1,0.00,0.00,0.00
tfwhm_1,0.00,0.00,0.00
b_1,190,130,130
cosi_1,0.49,0.34,0.34
bs_1,113,78,78
taus_1,0.00,0.00,0.00
t14s_1,0.00,0.00,0.00
tfwhms_1,0.00,0.00,0.00
eclipsedepth36_1,0.00034,0.00021,0.00014
eclipsedepth45_1,0.0079,0.0037,0.0027
rhop_1,3.50,2.4,0.95
logp_1,3.090,0.033,0.031
loggp_1,3.89,0.21,0.11
safronov_1,14.3,8.4,2.5
fave_1,0.000785,0.00011,0.000100
tp_1,2456784,19,22
ts_1,2456801.4,9.1,7.5
ta_1,2457018.5,8.8,8.7
td_1,2457833,95,77
ecosw_1,-0.040,0.038,0.040
esinw_1,-0.257,0.044,0.048
secosw_1,-0.078,0.075,0.079
sesinw_1,-0.502,0.049,0.047
msini_1,3.44,0.24,0.24
q_1,0.00319,0.0018,0.00042
dr_1,390,37,32
pt_1,0.00238,0.00021,0.00021
ptg_1,0.00274,0.00024,0.00024
ps_1,0.00404,0.00022,0.00020
psg_1,0.00465,0.00024,0.00022
u1_0,0.468,0.034,0.034
u2_0,0.269,0.035,0.034
u1_1,0.245,0.046,0.046
u2_1,0.306,0.049,0.048
u1_2,0.293,0.025,0.025
u2_2,0.307,0.028,0.028
u1_3,0.179,0.048,0.047
u2_3,0.283,0.049,0.048
gamma_0,1136.1,2.9,3.2
jitter_0,2.6,1.3,1.4
jittervar_0,6.9,8.6,5.5
gamma_1,10.8,9.4,10.
jitter_1,9.1,2.7,2.0
jittervar_1,82,57,32
gamma_2,31.7,4.8,4.9
jitter_2,10.5,5.4,6.2
jittervar_2,110,140,92
variance_0,0.00000067,0.00000023,0.00000019
f0_0,0.97941,0.00014,0.00014
C0_0_0,-0.0062,0.0010,0.0010
M0_0_0,-0.04977,0.00027,0.00028
M1_0_1,-0.00416,0.00090,0.00090
variance_1,0.00000213,0.00000028,0.00000025
f0_1,1.00252,0.00013,0.00013
M0_1_0,-0.00497,0.00016,0.00016
M1_1_1,-0.00235,0.00049,0.00049
variance_2,0.000000405,0.000000099,0.000000086
f0_2,1.00007,0.00011,0.00011
C0_2_0,0.00113,0.00022,0.00022
M0_2_0,-0.00006,0.00026,0.00027
variance_3,0.00000095,0.00000015,0.00000013
f0_3,0.99947,0.00011,0.00011
M0_3_0,0.00078,0.00031,0.00031
variance_4,0.00000083,0.00000047,0.00000041
f0_4,0.99840,0.00018,0.00018
C0_4_0,0.00038,0.00059,0.00059
C1_4_1,0.00257,0.00030,0.00030
variance_5,0.00000093,0.00000016,0.00000014
f0_5,1.00031,0.00012,0.00012
M0_5_0,0.00105,0.00016,0.00016
variance_6,0.00000133,0.00000018,0.00000016
f0_6,1.000520,0.000094,0.000093
M0_6_0,-0.00459,0.00024,0.00024
