#parname, median value, upper errorbar, lower errorbar
mstar_0,1.213,0.062,0.11
rstar_0,1.648,0.044,0.042
lstar_0,3.52,0.19,0.18
rhostar_0,0.377,0.034,0.034
logg_0,4.084,0.029,0.039
teff_0,6159,38,39
feh_0,-0.268,0.039,0.039
initfeh_0,-0.117,0.043,0.041
age_0,3.83,2.1,0.76
eep_0,411,33,16
logmstar_0,0.084,0.022,0.042
Av_0,0.0099,0.0088,0.0070
errscale_0,1.31,0.46,0.30
parallax_0,4.184,0.094,0.094
distance_0,239.0,5.5,5.2
Period_0,7.845580,0.000013,0.000014
rp_0,1.219,0.040,0.038
mp_0,0.468,0.023,0.029
tc_0,2456269.34077,0.00058,0.00059
t0_0,2456496.86260,0.00043,0.00043
a_0,0.0824,0.0014,0.0026
ideg_0,88.19,0.58,0.45
e_0,0.028,0.014,0.012
omegadeg_0,-14,48,34
teq_0,1331,21,18
tcirc_0,5.28,0.99,0.88
k_0,42.3,1.1,1.1
logk_0,1.626,0.011,0.012
p_0,0.07604,0.00090,0.00088
ar_0,10.70,0.31,0.34
delta_0,0.00578,0.00014,0.00013
depth_0,0.00578,0.00014,0.00013
tau_0,0.0191,0.0015,0.0014
t14_0,0.2402,0.0016,0.0015
tfwhm_0,0.2211,0.0010,0.0010
b_0,0.341,0.076,0.11
cosi_0,0.0316,0.0079,0.010
bs_0,0.336,0.071,0.10
taus_0,0.0188,0.0014,0.0012
t14s_0,0.2380,0.0072,0.0077
tfwhms_0,0.2191,0.0069,0.0072
eclipsedepth36_0,268,18,15
eclipsedepth45_0,390,23,20
rhop_0,0.318,0.035,0.032
logp_0,0.89462507,0.00000074,0.00000075
loggp_0,2.890,0.033,0.036
safronov_0,0.0524,0.0022,0.0021
fave_0,0.712,0.046,0.039
tp_0,2456267.12,1.0,0.76
ts_0,2456273.376,0.053,0.054
ta_0,2456267.419,0.050,0.044
td_0,2456271.371,0.065,0.058
ecosw_0,0.023,0.011,0.011
esinw_0,-0.005,0.017,0.020
secosw_0,0.135,0.036,0.048
sesinw_0,-0.037,0.12,0.097
msini_0,0.468,0.023,0.029
q_0,0.000372,0.000014,0.000012
dr_0,10.76,0.41,0.42
pt_0,0.0859,0.0035,0.0032
ptg_0,0.1000,0.0041,0.0037
ps_0,0.0870,0.0029,0.0027
psg_0,0.1013,0.0034,0.0033
Period_1,1231,98,85
rp_1,1.140,0.086,0.086
mp_1,4.00,2.3,0.56
tc_1,2457446,48,37
t0_1,2457446,48,37
a_1,2.39,0.14,0.13
ideg_1,60,21,27
e_1,0.263,0.047,0.042
