#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	MAIRMASS
2457171.753535	1.002777	0.000800	1.106510
2457171.754255	1.000925	0.000814	1.108519
2457171.754982	0.996500	0.000832	1.110574
2457171.755703	0.999392	0.000826	1.112632
2457171.756423	0.999231	0.000830	1.114712
2457171.757141	0.997737	0.000853	1.116813
2457171.757859	1.001197	0.000800	1.118934
2457171.758580	0.999982	0.000794	1.121089
2457171.759300	1.003019	0.000779	1.123265
2457171.760019	1.001281	0.000784	1.125464
2457171.760739	0.999109	0.000780	1.127689
2457171.761458	0.999323	0.000777	1.129937
2457171.762177	1.000827	0.000767	1.132210
2457171.762897	0.999820	0.000765	1.134508
2457171.763615	1.000414	0.000765	1.136828
2457171.764464	0.999337	0.000765	1.139605
2457171.765184	1.001604	0.000765	1.141987
2457171.765903	1.003853	0.000763	1.144392
2457171.766623	1.000086	0.000767	1.146827
2457171.767342	1.001712	0.000769	1.149286
2457171.768061	1.001670	0.000769	1.151770
2457171.768780	1.002156	0.000767	1.154281
2457171.769499	1.002478	0.000763	1.156821
2457171.770218	0.999697	0.000773	1.159388
2457171.770938	1.001081	0.000765	1.161983
2457171.771656	1.001134	0.000765	1.164604
2457171.772376	0.999876	0.000773	1.167255
2457171.773094	1.003406	0.000775	1.169932
2457171.773814	1.000273	0.000769	1.172642
2457171.774543	0.998983	0.000780	1.175416
2457171.775261	1.000163	0.000773	1.178180
2457171.775981	0.999502	0.000769	1.180976
2457171.776700	0.999292	0.000784	1.183801
2457171.777419	0.999260	0.000771	1.186659
2457171.778139	0.999801	0.000769	1.189545
2457171.778858	1.000554	0.000780	1.192462
2457171.779577	1.002319	0.000777	1.195408
2457171.780298	0.999740	0.000777	1.198394
2457171.781058	0.999683	0.000767	1.201574
2457171.781778	1.001832	0.000779	1.204624
2457171.782497	1.002303	0.000777	1.207698
2457171.783216	1.000536	0.000767	1.210803
2457171.783935	0.997813	0.000775	1.213943
2457171.784654	1.001157	0.000777	1.217116
2457171.785373	1.001702	0.000786	1.220322
2457171.786092	1.002305	0.000784	1.223560
2457171.786811	1.001265	0.000784	1.226835
2457171.787530	1.001328	0.000780	1.230144
2457171.788249	0.999844	0.000782	1.233484
2457171.788967	1.000487	0.000775	1.236861
2457171.789727	1.001030	0.000782	1.240467
2457171.790446	1.000491	0.000779	1.243919
2457171.791166	1.001010	0.000779	1.247409
2457171.791895	1.001417	0.000780	1.250980
2457171.792614	0.999089	0.000775	1.254541
2457171.793333	1.000564	0.000771	1.258137
2457171.794052	0.999997	0.000775	1.261776
2457171.794771	1.000013	0.000773	1.265448
2457171.795490	0.999960	0.000775	1.269158
2457171.796210	1.000988	0.000782	1.272913
2457171.796928	1.001497	0.000775	1.276702
2457171.797648	1.000672	0.000773	1.280534
2457171.798367	0.998407	0.000773	1.284406
2457171.799085	0.999832	0.000771	1.288310
2457171.799870	1.001242	0.000771	1.292628
2457171.800590	0.999520	0.000771	1.296626
2457171.801340	0.998625	0.000779	1.300841
2457171.802118	0.998887	0.000773	1.305264
2457171.802838	0.996919	0.000769	1.309394
2457171.803556	1.001354	0.000779	1.313565
2457171.804281	1.002779	0.000782	1.317817
2457171.805009	0.998462	0.000780	1.322128
2457171.805757	0.999569	0.000777	1.326613
2457171.806477	0.999860	0.000775	1.330975
2457171.807196	0.997929	0.000771	1.335371
2457171.807915	0.996347	0.000779	1.339818
2457171.808695	0.997815	0.000771	1.344698
2457171.809414	0.999319	0.000782	1.349242
2457171.810133	1.001039	0.000786	1.353837
2457171.810852	0.999526	0.000784	1.358481
2457171.811570	0.998045	0.000777	1.363169
2457171.812290	1.001836	0.000777	1.367914
2457171.813009	0.999510	0.000779	1.372707
2457171.813727	0.998767	0.000782	1.377546
2457171.814476	0.999123	0.000782	1.382646
2457171.815196	0.998594	0.000786	1.387602
2457171.815915	0.998547	0.000782	1.392608
2457171.816633	0.998674	0.000796	1.397664
2457171.817352	0.997560	0.000792	1.402774
2457171.818072	0.997815	0.000784	1.407949
2457171.818790	1.000501	0.000796	1.413167
2457171.819510	0.996813	0.000784	1.418449
2457171.820228	0.997031	0.000782	1.423785
2457171.820948	0.999449	0.000796	1.429184
2457171.821669	0.999714	0.000792	1.434653
2457171.822388	0.995271	0.000780	1.440169
2457171.823108	0.998210	0.000786	1.445749
2457171.823826	0.997560	0.000786	1.451381
2457171.824607	0.998527	0.000790	1.457574
2457171.825355	0.997672	0.000794	1.463571
2457171.826085	0.998423	0.000788	1.469494
2457171.826804	0.998425	0.000796	1.475392
2457171.827522	0.998436	0.000806	1.481354
2457171.828307	0.997839	0.000794	1.487937
2457171.829027	0.999500	0.000804	1.494049
2457171.829746	0.997583	0.000794	1.500219
2457171.830465	0.997483	0.000798	1.506464
2457171.831183	0.996508	0.000796	1.512769
2457171.831903	0.999433	0.000804	1.519162
2457171.832621	0.996748	0.000800	1.525603
2457171.833341	0.999064	0.000800	1.532145
2457171.834060	0.998016	0.000792	1.538745
2457171.834779	0.997526	0.000808	1.545422
2457171.835498	0.998871	0.000808	1.552178
2457171.836219	0.998254	0.000812	1.559026
2457171.836938	0.997520	0.000802	1.565938
2457171.837657	0.998885	0.000814	1.572930
2457171.838376	0.997970	0.000802	1.579999
2457171.839133	1.000562	0.000810	1.587534
2457171.839855	0.997408	0.000800	1.594801
2457171.840574	1.000166	0.000800	1.602128
2457171.841293	0.999699	0.000810	1.609546
2457171.842012	0.997121	0.000820	1.617043
2457171.842731	0.998704	0.000810	1.624623
2457171.843450	1.000430	0.000804	1.632306
2457171.844170	0.996683	0.000808	1.640082
2457171.844889	0.996938	0.000796	1.647942
2457171.845609	0.996085	0.000806	1.655907
2457171.846327	0.994316	0.000806	1.663954
2457171.847046	0.998908	0.000810	1.672102
2457171.847765	0.996451	0.000812	1.680350
2457171.848486	0.995977	0.000812	1.688712
2457171.849206	0.997518	0.000804	1.697171
2457171.849924	0.996944	0.000810	1.705718
2457171.850645	0.997823	0.000818	1.714399
2457171.851364	0.996856	0.000812	1.723165
2457171.852083	0.996799	0.000804	1.732039
2457171.852802	0.995979	0.000808	1.741015
2457171.853520	0.999123	0.000814	1.750103
2457171.854240	0.995873	0.000820	1.759319
2457171.854961	0.995289	0.000822	1.768665
2457171.855680	0.995130	0.000818	1.778110
2457171.856399	0.994445	0.000812	1.787669
2457171.857118	0.995497	0.000826	1.797351
