#Mass          	Status    Reason                                            Runtime                  
			
00010          	FAILED    min_timestep_limit                                0:40:28                  
00015          	OK        central_H1_mass_fraction_below_1e-4               1:16:23                  
00020          	OK        central_H1_mass_fraction_below_1e-4               0:50:14                  
00025          	OK        central_H1_mass_fraction_below_1e-4               0:36:37                  
00030_PT       	OK        central_H1_mass_fraction_below_1e-4               0:58:35                  
00030_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:46:48                  
00031_PT       	OK        central_H1_mass_fraction_below_1e-4               0:29:25                  
00031_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:43:35                  
00032_PT       	OK        central_H1_mass_fraction_below_1e-4               0:33:21                  
00032_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:30:08                  
00033_PT       	OK        central_H1_mass_fraction_below_1e-4               0:32:50                  
00033_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:31:12                  
00034_PT       	OK        central_H1_mass_fraction_below_1e-4               0:34:11                  
00034_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:28:42                  
00035_PT       	OK        central_H1_mass_fraction_below_1e-4               0:35:59                  
00035_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:31:40                  
00036_PT       	OK        central_H1_mass_fraction_below_1e-4               0:09:48                  
00036_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:07:14                  
00037_PT       	OK        central_H1_mass_fraction_below_1e-4               0:32:08                  
00037_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:06:57                  
00038_PT       	OK        central_H1_mass_fraction_below_1e-4               0:33:45                  
00038_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:29:21                  
00039_PT       	OK        central_H1_mass_fraction_below_1e-4               0:39:25                  
00039_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:07:01                  
00040_PT       	OK        central_H1_mass_fraction_below_1e-4               0:08:10                  
00040_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:27:51                  
00045_PT       	OK        central_H1_mass_fraction_below_1e-4               0:39:33                  
00045_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:30:58                  
00050_PT       	OK        central_H1_mass_fraction_below_1e-4               0:32:33                  
00050_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:06:24                  
00055_PT       	OK        central_H1_mass_fraction_below_1e-4               0:33:36                  
00055_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:30:41                  
00060          	FAILED    need_more_time                                    exceeded_req_time        
00065          	OK        gamma_center_limit                                46:28:06                 
00070          	OK        gamma_center_limit                                11:37:14                 
00075          	OK        gamma_center_limit                                17:32:24                 
00080          	OK        gamma_center_limit                                12:32:24                 
00085          	OK        gamma_center_limit                                12:30:28                 
00090          	OK        gamma_center_limit                                44:38:40                 
00092          	OK        gamma_center_limit                                44:43:53                 
00094          	OK        gamma_center_limit                                41:19:28                 
00096          	OK        gamma_center_limit                                40:38:16                 
00098          	OK        gamma_center_limit                                38:03:40                 
00100          	OK        gamma_center_limit                                38:01:06                 
00102          	OK        gamma_center_limit                                39:27:13                 
00104          	OK        gamma_center_limit                                50:23:50                 
00106          	OK        gamma_center_limit                                41:26:18                 
00108          	OK        gamma_center_limit                                44:15:16                 
00110          	OK        gamma_center_limit                                40:11:15                 
00112          	OK        gamma_center_limit                                11:35:20                 
00114          	OK        gamma_center_limit                                42:15:24                 
00116          	OK        gamma_center_limit                                43:42:26                 
00118          	OK        gamma_center_limit                                43:00:23                 
00120          	OK        gamma_center_limit                                41:13:59                 
00122          	OK        gamma_center_limit                                44:11:35                 
00124          	OK        gamma_center_limit                                41:02:32                 
00126          	OK        gamma_center_limit                                11:44:56                 
00128          	OK        gamma_center_limit                                39:25:39                 
00130          	OK        gamma_center_limit                                11:57:13                 
00132          	OK        gamma_center_limit                                41:19:55                 
00134          	OK        gamma_center_limit                                42:16:23                 
00136          	OK        gamma_center_limit                                40:03:51                 
00138          	OK        gamma_center_limit                                42:50:56                 
00140          	OK        gamma_center_limit                                39:02:43                 
00142          	OK        gamma_center_limit                                41:34:34                 
00144          	OK        gamma_center_limit                                42:13:19                 
00146          	OK        gamma_center_limit                                42:14:24                 
00148          	OK        gamma_center_limit                                40:53:47                 
00150          	OK        gamma_center_limit                                40:24:28                 
00152          	OK        gamma_center_limit                                39:00:44                 
00154          	OK        gamma_center_limit                                43:00:05                 
00156          	OK        gamma_center_limit                                40:31:02                 
00158          	OK        gamma_center_limit                                41:13:21                 
00160          	OK        gamma_center_limit                                11:31:57                 
00162          	OK        gamma_center_limit                                41:12:05                 
00164          	OK        gamma_center_limit                                40:20:34                 
00166          	OK        gamma_center_limit                                39:54:12                 
00168          	OK        gamma_center_limit                                42:14:54                 
00170          	OK        gamma_center_limit                                11:17:03                 
00172          	OK        gamma_center_limit                                37:53:52                 
00174          	OK        gamma_center_limit                                43:20:34                 
00176          	OK        gamma_center_limit                                38:04:10                 
00178          	OK        gamma_center_limit                                35:11:23                 
00180          	OK        gamma_center_limit                                36:23:15                 
00182          	OK        gamma_center_limit                                33:42:41                 
