# Keivan's filter names, MIST filter names, Claret Filter names, svo filter names
H2M 2MASS_H H 2MASS_2MASS.H
Unsupported Stromgren_b Stromb Unsupported
Unsupported Stromgren_u Stromu Unsupported
Unsupported Stromgren_v Stromv Unsupported
Unsupported Stromgren_y Stromy Unsupported
Unsupported Swift_B Unsupported Unsupported
Unsupported Swift_U Unsupported Unsupported
Unsupported Swift_UVM2 Unsupported Unsupported
Unsupported Swift_UVW1 Unsupported Unsupported
Unsupported Swift_UVW2 Unsupported Unsupported
Unsupported Swift_V Unsupported Unsupported
Unsupported TESS TESS Unsupported
BT Tycho_B Unsupported Unsupported
VT Tycho_V Unsupported Unsupported
Unsupported UKIDSS_H Unsupported Unsupported
Unsupported UKIDSS_J Unsupported Unsupported
Unsupported UKIDSS_K Unsupported Unsupported
Unsupported UKIDSS_Y Unsupported Unsupported
Unsupported UKIDSS_Z Unsupported Unsupported
Unsupported W146 Unsupported Unsupported
Unsupported WFC3_IR_F098M Unsupported Unsupported
Unsupported WFC3_IR_F105W Unsupported Unsupported
Unsupported WFC3_IR_F110W Unsupported Unsupported
Unsupported WFC3_IR_F125W Unsupported Unsupported
Unsupported WFC3_IR_F126N Unsupported Unsupported
Unsupported WFC3_IR_F127M Unsupported Unsupported
Unsupported WFC3_IR_F128N Unsupported Unsupported
Unsupported WFC3_IR_F130N Unsupported Unsupported
Unsupported WFC3_IR_F132N Unsupported Unsupported
Unsupported WFC3_IR_F139M Unsupported Unsupported
Unsupported WFC3_IR_F140W Unsupported Unsupported
Unsupported WFC3_IR_F153M Unsupported Unsupported
Unsupported WFC3_IR_F160W Unsupported Unsupported
Unsupported WFC3_IR_F164N Unsupported Unsupported
Unsupported WFC3_IR_F167N Unsupported Unsupported
Unsupported WFC3_UVIS_F200LP Unsupported Unsupported
Unsupported WFC3_UVIS_F218W Unsupported Unsupported
Unsupported WFC3_UVIS_F225W Unsupported Unsupported
Unsupported WFC3_UVIS_F275W Unsupported Unsupported
Unsupported WFC3_UVIS_F280N Unsupported Unsupported
Unsupported WFC3_UVIS_F300X Unsupported Unsupported
Unsupported WFC3_UVIS_F336W Unsupported Unsupported
Unsupported WFC3_UVIS_F343N Unsupported Unsupported
Unsupported WFC3_UVIS_F350LP Unsupported Unsupported
Unsupported WFC3_UVIS_F373N Unsupported Unsupported
Unsupported WFC3_UVIS_F390M Unsupported Unsupported
Unsupported WFC3_UVIS_F390W Unsupported Unsupported
Unsupported WFC3_UVIS_F395N Unsupported Unsupported
Unsupported WFC3_UVIS_F410M Unsupported Unsupported
Unsupported WFC3_UVIS_F438W Unsupported Unsupported
Unsupported WFC3_UVIS_F467M Unsupported Unsupported
Unsupported WFC3_UVIS_F469N Unsupported Unsupported
Unsupported WFC3_UVIS_F475W Unsupported Unsupported
Unsupported WFC3_UVIS_F475X Unsupported Unsupported
Unsupported WFC3_UVIS_F487N Unsupported Unsupported
Unsupported WFC3_UVIS_F502N Unsupported Unsupported
Unsupported WFC3_UVIS_F547M Unsupported Unsupported
Unsupported WFC3_UVIS_F555W Unsupported Unsupported
Unsupported WFC3_UVIS_F600LP Unsupported Unsupported
Unsupported WFC3_UVIS_F606W Unsupported Unsupported
Unsupported WFC3_UVIS_F621M Unsupported Unsupported
Unsupported WFC3_UVIS_F625W Unsupported Unsupported
Unsupported WFC3_UVIS_F631N Unsupported Unsupported
Unsupported WFC3_UVIS_F645N Unsupported Unsupported
Unsupported WFC3_UVIS_F656N Unsupported Unsupported
Unsupported WFC3_UVIS_F657N Unsupported Unsupported
Unsupported WFC3_UVIS_F658N Unsupported Unsupported
Unsupported WFC3_UVIS_F665N Unsupported Unsupported
Unsupported WFC3_UVIS_F673N Unsupported Unsupported
Unsupported WFC3_UVIS_F680N Unsupported Unsupported
Unsupported WFC3_UVIS_F689M Unsupported Unsupported
Unsupported WFC3_UVIS_F763M Unsupported Unsupported
Unsupported WFC3_UVIS_F775W Unsupported Unsupported
Unsupported WFC3_UVIS_F814W Unsupported Unsupported
Unsupported WFC3_UVIS_F845M Unsupported Unsupported
Unsupported WFC3_UVIS_F850LP Unsupported Unsupported
Unsupported WFC3_UVIS_F953N Unsupported Unsupported
Unsupported WFPC2_F218W Unsupported Unsupported
Unsupported WFPC2_F255W Unsupported Unsupported
Unsupported WFPC2_F300W Unsupported Unsupported
Unsupported WFPC2_F336W Unsupported Unsupported
Unsupported WFPC2_F439W Unsupported Unsupported
Unsupported WFPC2_F450W Unsupported Unsupported
Unsupported WFPC2_F555W Unsupported Unsupported
Unsupported WFPC2_F606W Unsupported Unsupported
Unsupported WFPC2_F622W Unsupported Unsupported
Unsupported WFPC2_F675W Unsupported Unsupported
Unsupported WFPC2_F791W Unsupported Unsupported
Unsupported WFPC2_F814W Unsupported Unsupported
Unsupported WFPC2_F850LP Unsupported Unsupported
WISE1 WISE_W1 Unsupported WISE_WISE.W1
WISE2 WISE_W2 Unsupported WISE_WISE.W2
WISE3 WISE_W3 Unsupported WISE_WISE.W3
WISE4 WISE_W4 Unsupported WISE_WISE.W4
Unsupported Washington_C Unsupported Unsupported
Unsupported Washington_M Unsupported Unsupported
Unsupported Washington_T1 Unsupported Unsupported
Unsupported Washington_T2 Unsupported Unsupported
Unsupported Y106 Unsupported Unsupported
Unsupported Z087 Unsupported  Unsupported
Unsupported Unsupported Unsupported Gemini_Zorro.EO_562
Unsupported Unsupported Unsupported Gemini_Zorro.EO_832
Unsupported Unsupported Unsupported Keck_NIRC2.Brgamma

