#Mass          	Status    Reason                                            Runtime                  
			
00010          	FAILED    min_timestep_limit                                27:27:00                 
00015          	OK        central_H1_mass_fraction_below_1e-4               22:23:17                 
00020          	OK        central_H1_mass_fraction_below_1e-4               9:35:28                  
00025          	OK        central_H1_mass_fraction_below_1e-4               4:52:49                  
00030_PT       	OK        central_H1_mass_fraction_below_1e-4               3:19:56                  
00030_tau100   	OK        central_H1_mass_fraction_below_1e-4               1:45:55                  
00031_PT       	OK        central_H1_mass_fraction_below_1e-4               0:38:07                  
00031_tau100   	OK        central_H1_mass_fraction_below_1e-4               9:39:46                  
00032_PT       	OK        central_H1_mass_fraction_below_1e-4               0:41:17                  
00032_tau100   	FAILED    unknown_error                                     exceeded_req_time        
00033_PT       	OK        central_H1_mass_fraction_below_1e-4               0:42:56                  
00033_tau100   	FAILED    unknown_error                                     exceeded_req_time        
00034_PT       	OK        central_H1_mass_fraction_below_1e-4               0:53:31                  
00034_tau100   	FAILED    unknown_error                                     exceeded_req_time        
00035_PT       	OK        central_H1_mass_fraction_below_1e-4               0:45:07                  
00035_tau100   	FAILED    unknown_error                                     exceeded_req_time        
00036_PT       	OK        central_H1_mass_fraction_below_1e-4               0:45:10                  
00036_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:43:05                  
00037_PT       	OK        central_H1_mass_fraction_below_1e-4               0:45:49                  
00037_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:36:52                  
00038_PT       	OK        central_H1_mass_fraction_below_1e-4               0:51:09                  
00038_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:37:27                  
00039_PT       	OK        central_H1_mass_fraction_below_1e-4               0:32:41                  
00039_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:27:58                  
00040_PT       	OK        central_H1_mass_fraction_below_1e-4               0:32:38                  
00040_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:24:32                  
00045_PT       	OK        central_H1_mass_fraction_below_1e-4               0:32:18                  
00045_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:27:10                  
00050_PT       	OK        central_H1_mass_fraction_below_1e-4               0:32:36                  
00050_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:25:37                  
00055_PT       	OK        central_H1_mass_fraction_below_1e-4               0:27:00                  
00055_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:29:10                  
00060          	FAILED    unknown_error                                     exceeded_req_time        
00065          	FAILED    unknown_error                                     exceeded_req_time        
00070          	FAILED    unknown_error                                     exceeded_req_time        
