#Mass          	Status    Reason                                            Runtime                  
			
00010          	FAILED    min_timestep_limit                                1:54:37                  
00015          	FAILED    need_more_time                                    exceeded_req_time        
00020          	FAILED    need_more_time                                    exceeded_req_time        
00025          	OK        central_H1_mass_fraction_below_1e-4               0:07:25                  
00030_PT       	OK        central_H1_mass_fraction_below_1e-4               0:07:52                  
00030_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:08:04                  
00031_PT       	OK        central_H1_mass_fraction_below_1e-4               0:37:18                  
00031_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:30:23                  
00032_PT       	OK        central_H1_mass_fraction_below_1e-4               0:30:36                  
00032_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:29:03                  
00033_PT       	OK        central_H1_mass_fraction_below_1e-4               0:42:34                  
00033_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:29:52                  
00034_PT       	OK        central_H1_mass_fraction_below_1e-4               1:30:10                  
00034_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:44:31                  
00035_PT       	OK        central_H1_mass_fraction_below_1e-4               0:59:20                  
00035_tau100   	OK        central_H1_mass_fraction_below_1e-4               1:13:27                  
00036_PT       	OK        central_H1_mass_fraction_below_1e-4               1:02:11                  
00036_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:32:53                  
00037_PT       	OK        central_H1_mass_fraction_below_1e-4               0:35:57                  
00037_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:36:55                  
00038_PT       	OK        central_H1_mass_fraction_below_1e-4               0:23:01                  
00038_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:24:16                  
00039_PT       	OK        central_H1_mass_fraction_below_1e-4               0:25:13                  
00039_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:58:17                  
00040_PT       	OK        central_H1_mass_fraction_below_1e-4               0:27:45                  
00040_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:27:00                  
00045_PT       	OK        central_H1_mass_fraction_below_1e-4               0:41:17                  
00045_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:23:32                  
00050_PT       	OK        central_H1_mass_fraction_below_1e-4               0:35:19                  
00050_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:54:24                  
00055_PT       	OK        central_H1_mass_fraction_below_1e-4               0:05:39                  
00055_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:32:39                  
00060          	FAILED    need_more_time                                    exceeded_req_time        
00065          	FAILED    min_timestep_limit                                -657:24:57               
00070          	FAILED    min_timestep_limit                                -651:28:53               
00075          	FAILED    min_timestep_limit                                -636:04:47               
00080          	FAILED    need_more_time                                    exceeded_req_time        
00085          	FAILED    min_timestep_limit                                -644:13:47               
00090          	FAILED    min_timestep_limit                                -650:00:42               
00092          	FAILED    min_timestep_limit                                -641:57:31               
00094          	FAILED    need_more_time                                    exceeded_req_time        
00096          	FAILED    min_timestep_limit                                23:19:02                 
00098          	FAILED    min_timestep_limit                                -663:52:40               
00100          	FAILED    min_timestep_limit                                -633:38:04               
00102          	FAILED    min_timestep_limit                                -635:45:19               
00104          	FAILED    min_timestep_limit                                -660:39:38               
00106          	FAILED    need_more_time                                    exceeded_req_time        
00108          	FAILED    need_more_time                                    exceeded_req_time        
00110          	FAILED    need_more_time                                    exceeded_req_time        
00112          	FAILED    min_timestep_limit                                17:35:35                 
00114          	FAILED    min_timestep_limit                                12:07:54                 
00116          	OK        gamma_center_limit                                -577:32:55               
00118          	FAILED    min_timestep_limit                                19:25:58                 
00120          	FAILED    min_timestep_limit                                10:11:41                 
00122          	FAILED    min_timestep_limit                                -627:04:41               
00124          	FAILED    min_timestep_limit                                3:43:58                  
