#Mass          	Status    Reason                                            Runtime                  
			
00010          	FAILED    need_more_time                                    exceeded_req_time        
00015          	FAILED    need_more_time                                    exceeded_req_time        
00020          	OK        central_H1_mass_fraction_below_1e-4               0:08:42                  
00025          	OK        central_H1_mass_fraction_below_1e-4               0:07:15                  
00030_PT       	OK        central_H1_mass_fraction_below_1e-4               0:06:45                  
00030_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:25:59                  
00031_PT       	OK        central_H1_mass_fraction_below_1e-4               0:12:29                  
00031_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:21:18                  
00032_PT       	OK        central_H1_mass_fraction_below_1e-4               0:11:17                  
00032_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:14:56                  
00033_PT       	OK        central_H1_mass_fraction_below_1e-4               0:05:25                  
00033_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:09:21                  
00034_PT       	OK        central_H1_mass_fraction_below_1e-4               0:07:29                  
00034_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:11:35                  
00035_PT       	OK        central_H1_mass_fraction_below_1e-4               0:11:16                  
00035_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:53:34                  
00036_PT       	OK        central_H1_mass_fraction_below_1e-4               0:53:15                  
00036_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:40:43                  
00037_PT       	OK        central_H1_mass_fraction_below_1e-4               0:31:04                  
00037_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:12:30                  
00038_PT       	OK        central_H1_mass_fraction_below_1e-4               0:28:44                  
00038_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:35:41                  
00039_PT       	OK        central_H1_mass_fraction_below_1e-4               0:27:49                  
00039_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:25:15                  
00040_PT       	OK        central_H1_mass_fraction_below_1e-4               0:31:29                  
00040_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:33:39                  
00045_PT       	OK        central_H1_mass_fraction_below_1e-4               0:30:35                  
00045_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:10:13                  
00050_PT       	OK        central_H1_mass_fraction_below_1e-4               0:10:16                  
00050_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:06:15                  
00055_PT       	OK        central_H1_mass_fraction_below_1e-4               0:06:07                  
00055_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:06:10                  
00060          	FAILED    need_more_time                                    exceeded_req_time        
00065          	OK        gamma_center_limit                                53:53:39                 
00070          	OK        gamma_center_limit                                21:13:58                 
00075          	OK        gamma_center_limit                                22:27:24                 
00080          	OK        gamma_center_limit                                17:18:24                 
00085          	OK        gamma_center_limit                                33:39:19                 
00090          	OK        gamma_center_limit                                32:35:33                 
00092          	OK        gamma_center_limit                                31:30:19                 
00094          	OK        gamma_center_limit                                32:43:23                 
00096          	OK        gamma_center_limit                                23:15:25                 
00098          	OK        gamma_center_limit                                23:52:04                 
00100          	OK        gamma_center_limit                                23:07:59                 
00102          	OK        gamma_center_limit                                26:04:25                 
00104          	OK        gamma_center_limit                                24:23:04                 
00106          	OK        gamma_center_limit                                22:29:19                 
00108          	OK        gamma_center_limit                                20:35:54                 
00110          	OK        gamma_center_limit                                20:14:57                 
00112          	OK        gamma_center_limit                                21:20:55                 
00114          	OK        gamma_center_limit                                20:30:40                 
00116          	OK        gamma_center_limit                                19:11:35                 
00118          	OK        gamma_center_limit                                32:37:51                 
00120          	OK        gamma_center_limit                                21:36:26                 
00122          	OK        gamma_center_limit                                22:04:56                 
00124          	OK        gamma_center_limit                                25:28:02                 
00126          	OK        gamma_center_limit                                25:11:48                 
00128          	OK        gamma_center_limit                                25:04:46                 
00130          	OK        gamma_center_limit                                28:58:37                 
00132          	OK        gamma_center_limit                                22:26:25                 
00134          	OK        gamma_center_limit                                25:02:44                 
00136          	OK        gamma_center_limit                                21:29:15                 
00138          	OK        gamma_center_limit                                22:09:51                 
00140          	OK        gamma_center_limit                                22:19:40                 
00142          	OK        gamma_center_limit                                23:23:26                 
00144          	OK        gamma_center_limit                                32:15:43                 
00146          	OK        gamma_center_limit                                61:23:51                 
00148          	OK        gamma_center_limit                                24:31:10                 
00150          	OK        gamma_center_limit                                31:21:30                 
00152          	OK        gamma_center_limit                                31:33:17                 
00154          	OK        gamma_center_limit                                30:52:35                 
00156          	OK        gamma_center_limit                                28:27:05                 
00158          	OK        gamma_center_limit                                23:53:48                 
00160          	OK        gamma_center_limit                                26:40:28                 
00162          	OK        gamma_center_limit                                37:16:58                 
00164          	OK        gamma_center_limit                                22:32:43                 
00166          	OK        gamma_center_limit                                25:09:48                 
00168          	OK        gamma_center_limit                                21:08:30                 
00170          	OK        gamma_center_limit                                23:18:57                 
00172          	OK        gamma_center_limit                                21:53:50                 
00174          	OK        gamma_center_limit                                24:56:53                 
00176          	OK        gamma_center_limit                                30:02:39                 
00178          	OK        gamma_center_limit                                28:54:23                 
00180          	FAILED    unknown_error                                     92:51:04                 
00182          	FAILED    unknown_error                                     22:11:45                 
00184          	OK        gamma_center_limit                                20:15:54                 
00186          	OK        gamma_center_limit                                20:29:01                 
00188          	OK        gamma_center_limit                                34:09:34                 
00190          	OK        gamma_center_limit                                19:56:04                 
00192          	OK        gamma_center_limit                                17:34:49                 
00194          	FAILED    min_timestep_limit                                46:59:52                 
00196          	FAILED    need_more_time                                    exceeded_req_time        
00198          	OK        gamma_center_limit                                15:13:13                 
00200          	OK        gamma_center_limit                                16:54:44                 
00202          	OK        gamma_center_limit                                3:42:45                  
00204          	OK        gamma_center_limit                                4:31:13                  
00206          	OK        gamma_center_limit                                3:36:26                  
00208          	OK        gamma_center_limit                                3:29:02                  
00210          	OK        gamma_center_limit                                3:25:38                  
00212          	OK        gamma_center_limit                                3:48:41                  
00214          	OK        gamma_center_limit                                3:43:34                  
00216          	OK        gamma_center_limit                                22:44:28                 
00218          	OK        gamma_center_limit                                12:27:33                 
