2457329.504465	1.001035	0.001669
2457329.506567	1.000222	0.001691
2457329.508671	1.002959	0.001661
2457329.510774	1.001881	0.001666
2457329.512878	0.998785	0.001664
2457329.514984	1.001177	0.001676
2457329.517088	1.001354	0.001659
2457329.519186	1.000862	0.001639
2457329.521291	0.997348	0.001656
2457329.523389	1.001364	0.001659
2457329.525493	1.001453	0.001696
2457329.527594	0.998859	0.001651
2457329.529697	1.003436	0.001713
2457329.531798	0.997368	0.001693
2457329.533901	1.003338	0.001728
2457329.536001	0.999701	0.001716
2457329.538104	1.001551	0.001957
2457329.540208	0.999652	0.001915
2457329.542309	1.002147	0.001970
2457329.544412	1.000474	0.001905
2457329.546510	0.998126	0.001927
2457329.548614	0.998583	0.001979
2457329.550714	0.999917	0.001976
2457329.552817	1.000434	0.001944
2457329.554918	1.001778	0.001949
2457329.557018	0.998392	0.001964
2457329.559122	1.001758	0.001974
2457329.561223	1.001591	0.001959
2457329.563326	0.997644	0.002001
2457329.565427	0.998839	0.002087
2457329.567533	0.992609	0.002030
2457329.569636	0.990679	0.001993
2457329.571740	0.991043	0.001964
2457329.573841	0.987500	0.001986
2457329.575941	0.986678	0.001972
2457329.578045	0.992525	0.002016
2457329.580148	0.988056	0.002008
2457329.582248	0.987456	0.001961
2457329.584351	0.988445	0.001996
2457329.586452	0.988479	0.001976
2457329.588556	0.986107	0.002028
2457329.590659	0.987421	0.002040
2457329.592763	0.984842	0.002023
2457329.594864	0.988041	0.001988
2457329.596970	0.988213	0.001994
2457329.599070	0.988071	0.001971
2457329.601171	0.986412	0.001981
2457329.603274	0.987165	0.001989
2457329.605378	0.986230	0.001966
2457329.607478	0.988509	0.001993
2457329.609582	0.987628	0.001979
2457329.611683	0.991294	0.001991
2457329.613785	0.987834	0.001976
2457329.615886	0.988760	0.001961
2457329.617987	0.985984	0.001961
2457329.620090	0.984128	0.001961
2457329.622194	0.989587	0.001996
2457329.624295	0.987013	0.001979
2457329.626401	0.984951	0.001787
2457329.628498	0.986658	0.001794
2457329.630601	0.984769	0.001784
2457329.632702	0.984887	0.001799
2457329.634803	0.990232	0.001831
2457329.636906	0.988272	0.001809
2457329.639007	0.989341	0.001836
2457329.641111	0.983971	0.001823
2457329.643211	0.984119	0.001848
2457329.645311	0.988061	0.001843
2457329.647412	0.985241	0.001851
2457329.649518	0.990536	0.001861
2457329.651619	0.988499	0.001855
2457329.653722	0.992175	0.001885
2457329.655820	0.994794	0.001905
2457329.657924	0.995995	0.001942
2457329.660024	0.996457	0.001944
2457329.662127	0.997747	0.001954
2457329.664228	0.998047	0.001964
2457329.666329	1.001325	0.001954
2457329.668432	1.000498	0.001981
2457329.670533	0.998963	0.002013
2457329.672763	1.001005	0.002013
2457329.675260	1.001556	0.002067
2457329.677364	0.997319	0.002116
2457329.679464	1.000026	0.002161
2457329.681562	0.999302	0.002158
2457329.683666	0.997535	0.002121
2457329.685763	1.001669	0.002175
2457329.687867	1.000021	0.002205
2457329.689969	0.999317	0.002239
2457329.692070	1.002427	0.002264
2457329.694174	1.000818	0.002355
2457329.696272	1.001704	0.002338
2457329.698375	1.000985	0.002372
2457329.700479	0.995911	0.002404
2457329.702580	1.001896	0.002424
2457329.704679	0.998790	0.002385
2457329.706780	0.998933	0.002392
2457329.708883	0.998259	0.002419
2457329.710984	1.002024	0.002446
2457329.713085	0.994700	0.002458
2457329.715188	1.000208	0.002513
