#Mass          	Status    Reason                                            Runtime                  
			
00010          	FAILED    min_timestep_limit                                11:37:39                 
00015          	FAILED    need_more_time                                    exceeded_req_time        
00020          	FAILED    need_more_time                                    exceeded_req_time        
00025          	OK        central_H1_mass_fraction_below_1e-4               0:32:31                  
00030_PT       	OK        central_H1_mass_fraction_below_1e-4               0:33:45                  
00030_tau100   	OK        central_H1_mass_fraction_below_1e-4               1:14:40                  
00031_PT       	OK        central_H1_mass_fraction_below_1e-4               0:33:14                  
00031_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:30:21                  
00032_PT       	OK        central_H1_mass_fraction_below_1e-4               1:25:15                  
00032_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:35:21                  
00033_PT       	OK        central_H1_mass_fraction_below_1e-4               0:23:30                  
00033_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:27:39                  
00034_PT       	OK        central_H1_mass_fraction_below_1e-4               0:30:32                  
00034_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:41:43                  
00035_PT       	OK        central_H1_mass_fraction_below_1e-4               0:27:03                  
00035_tau100   	OK        central_H1_mass_fraction_below_1e-4               1:00:08                  
00036_PT       	OK        central_H1_mass_fraction_below_1e-4               0:20:15                  
00036_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:28:57                  
00037_PT       	OK        central_H1_mass_fraction_below_1e-4               0:23:46                  
00037_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:13:02                  
00038_PT       	OK        central_H1_mass_fraction_below_1e-4               0:07:55                  
00038_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:09:07                  
00039_PT       	OK        central_H1_mass_fraction_below_1e-4               0:28:30                  
00039_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:29:08                  
00040_PT       	OK        central_H1_mass_fraction_below_1e-4               0:34:26                  
00040_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:25:33                  
00045_PT       	OK        central_H1_mass_fraction_below_1e-4               0:26:34                  
00045_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:34:16                  
00050_PT       	OK        central_H1_mass_fraction_below_1e-4               0:32:37                  
00050_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:24:37                  
00055_PT       	OK        central_H1_mass_fraction_below_1e-4               0:31:48                  
00055_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:25:59                  
00060          	FAILED    need_more_time                                    exceeded_req_time        
00065          	FAILED    min_timestep_limit                                -654:39:12               
00070          	FAILED    min_timestep_limit                                -651:57:11               
00075          	FAILED    min_timestep_limit                                -658:15:28               
00080          	FAILED    min_timestep_limit                                7:10:20                  
00085          	FAILED    min_timestep_limit                                34:07:03                 
00090          	FAILED    min_timestep_limit                                4:48:14                  
00092          	FAILED    min_timestep_limit                                5:54:58                  
00094          	FAILED    min_timestep_limit                                -648:36:40               
00096          	FAILED    min_timestep_limit                                23:54:45                 
00098          	FAILED    min_timestep_limit                                28:21:05                 
00100          	FAILED    min_timestep_limit                                23:36:02                 
00102          	FAILED    min_timestep_limit                                -654:56:20               
00104          	FAILED    min_timestep_limit                                -629:31:40               
00106          	FAILED    min_timestep_limit                                23:02:18                 
00108          	FAILED    need_more_time                                    exceeded_req_time        
00110          	FAILED    min_timestep_limit                                10:21:37                 
00112          	FAILED    min_timestep_limit                                4:36:27                  
00114          	FAILED    need_more_time                                    exceeded_req_time        
00116          	FAILED    min_timestep_limit                                32:34:39                 
